"","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS"
"Egypt","&lt;500 [&lt;500–620]","&lt;500 [&lt;500–590]","&lt;500 [&lt;500–570]","&lt;500 [&lt;500–550]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"El Salvador","940 [710–1200]","920 [690–1200]","860 [660–1100]","850 [640–1100]","810 [610–1000]","750 [560–980]","690 [510–900]","580 [&lt;500–750]","530 [&lt;500–680]","570 [&lt;500–710]","610 [&lt;500–760]","630 [&lt;500–770]","640 [&lt;500–780]","690 [550–840]","770 [620–940]","890 [700–1100]","920 [710–1100]","890 [690–1100]","830 [630–1000]","720 [550–900]"
"Equatorial Guinea","1800 [1200–2800]","1700 [1200–2500]","1900 [1400–2700]","1700 [1200–2400]","1500 [1000–2000]","1500 [1100–1900]","1700 [1200–2200]","1600 [1200–2100]","1500 [1000–2000]","1300 [890–1800]","1300 [910–1800]","1200 [840–1700]","1300 [870–1800]","1200 [820–1800]","1200 [810–1700]","1100 [750–1600]","990 [660–1500]","870 [560–1300]","750 [&lt;500–1200]","650 [&lt;500–1100]"
"Eritrea","&lt;500 [&lt;200–570]","&lt;500 [&lt;200–520]","&lt;500 [&lt;500–540]","&lt;500 [&lt;500–550]","&lt;500 [&lt;500–610]","&lt;500 [&lt;500–680]","&lt;500 [&lt;500–770]","530 [&lt;500–870]","600 [&lt;500–980]","690 [&lt;500–1100]","780 [&lt;500–1200]","940 [610–1400]","1200 [830–1700]","1500 [1100–2000]","1700 [1300–2200]","1700 [1300–2200]","1600 [1200–2200]","1500 [1100–2100]","1400 [980–1900]","1200 [840–1700]"
"Estonia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Eswatini","2300 [1900–2800]","2600 [2200–3100]","2800 [2400–3300]","2800 [2400–3200]","2900 [2600–3300]","3100 [2800–3500]","3100 [2700–3400]","3300 [2900–3800]","3900 [3500–4400]","4600 [4100–5100]","5100 [4600–5800]","5700 [5000–6400]","6100 [5400–7000]","7100 [6200–8000]","8100 [7000–9300]","8200 [6800–9500]","7700 [6200–9200]","7200 [5700–8700]","6600 [5100–8100]","5700 [4300–7200]"
"Ethiopia","12 000 [7000–20 000]","12 000 [7200–20 000]","13 000 [7700–22 000]","14 000 [8300–23 000]","15 000 [8900–25 000]","15 000 [9400–27 000]","16 000 [9900–28 000]","18 000 [11 000–31 000]","21 000 [13 000–36 000]","24 000 [15 000–41 000]","28 000 [17 000–49 000]","35 000 [21 000–60 000]","45 000 [27 000–77 000]","56 000 [34 000–96 000]","63 000 [38 000–110 000]","68 000 [41 000–120 000]","70 000 [42 000–120 000]","70 000 [43 000–120 000]","70 000 [42 000–120 000]","68 000 [41 000–120 000]"
"Fiji","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Finland","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"France","&lt;500 [&lt;200–730]","&lt;500 [&lt;200–770]","&lt;500 [&lt;200–830]","&lt;500 [&lt;200–810]","&lt;500 [&lt;200–910]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;500–610]","&lt;500 [&lt;500–630]","520 [&lt;500–720]","540 [&lt;500–750]","580 [&lt;500–790]","600 [&lt;500–820]","620 [&lt;500–840]","630 [&lt;500–820]","630 [&lt;500–810]","590 [&lt;500–740]","580 [&lt;500–720]","570 [&lt;500–690]","600 [&lt;500–700]","620 [500–840]"
"Gabon","1100 [770–1600]","1100 [770–1600]","1100 [760–1500]","1100 [800–1600]","1200 [810–1700]","1300 [930–1900]","1500 [1000–2100]","1700 [1200–2400]","1800 [1300–2500]","1700 [1200–2400]","1800 [1200–2500]","1700 [1100–2500]","1600 [1100–2400]","1600 [1100–2400]","1900 [1200–2700]","2200 [1400–3100]","2100 [1400–3000]","2100 [1300–3000]","1900 [1200–2800]","1700 [1100–2600]"
"Gambia","1100 [760–1600]","1100 [740–1600]","1100 [720–1600]","1100 [730–1600]","1000 [680–1500]","930 [630–1400]","810 [540–1200]","790 [540–1200]","890 [620–1300]","1000 [730–1500]","1100 [750–1500]","1100 [750–1500]","1000 [700–1400]","910 [630–1300]","930 [650–1400]","850 [600–1300]","740 [520–1100]","630 [&lt;500–950]","530 [&lt;500–800]","&lt;500 [&lt;500–650]"
"Georgia","&lt;100 [&lt;100–&lt;500]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Germany","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Ghana","14 000 [8800–20 000]","14 000 [9400–20 000]","14 000 [9600–19 000]","14 000 [9500–19 000]","13 000 [9400–18 000]","13 000 [9300–17 000]","12 000 [8900–16 000]","13 000 [9600–16 000]","14 000 [11 000–18 000]","16 000 [12 000–19 000]","17 000 [13 000–20 000]","18 000 [15 000–21 000]","20 000 [16 000–23 000]","21 000 [16 000–24 000]","21 000 [16 000–24 000]","21 000 [16 000–25 000]","21 000 [16 000–25 000]","20 000 [15 000–24 000]","19 000 [14 000–24 000]","18 000 [13 000–23 000]"
"Greece","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Guatemala","1200 [830–1700]","1400 [930–2000]","1400 [960–2100]","1300 [850–2000]","1000 [650–1700]","820 [520–1300]","730 [&lt;500–1200]","700 [&lt;500–1100]","650 [&lt;500–1000]","650 [&lt;500–1000]","680 [&lt;500–1000]","830 [580–1200]","1100 [760–1400]","1200 [870–1700]","1200 [830–1600]","1200 [860–1600]","1700 [1200–2200]","1600 [1100–2200]","1500 [1000–2100]","1400 [890–2000]"
"Guinea","3100 [2300–4100]","3600 [2700–4900]","3600 [2600–4800]","3400 [2400–4600]","3200 [2200–4300]","2900 [2000–4100]","2900 [2100–4000]","3300 [2400–4400]","3400 [2600–4500]","3700 [2900–4900]","4400 [3400–5600]","5000 [3900–6500]","4900 [3800–6400]","5700 [4400–7200]","6100 [4600–7700]","5900 [4300–7700]","5700 [4100–7500]","5500 [3900–7300]","5200 [3600–6900]","4800 [3300–6600]"
"Guinea-Bissau","1500 [1200–1700]","1400 [1200–1700]","1400 [1200–1700]","1600 [1300–1800]","1600 [1300–1900]","1500 [1200–1800]","1500 [1200–1700]","1600 [1300–1900]","1700 [1400–2000]","1700 [1400–2100]","1700 [1400–2100]","1900 [1600–2300]","2000 [1600–2400]","2000 [1600–2500]","1900 [1500–2400]","1700 [1300–2200]","1500 [1200–1900]","1300 [980–1700]","1100 [820–1500]","900 [670–1200]"
"Guyana","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Haiti","2700 [2100–3300]","2700 [2100–3300]","3200 [2600–3900]","3800 [3100–4400]","3900 [3200–4600]","4200 [3500–4900]","4800 [4100–5700]","5100 [4300–6200]","5300 [4400–6300]","5000 [4200–6000]","5500 [4700–6600]","6500 [5600–7700]","7600 [6600–8800]","9500 [8400–11 000]","11 000 [9400–12 000]","11 000 [9700–13 000]","11 000 [9700–13 000]","11 000 [9700–14 000]","11 000 [9400–14 000]","11 000 [8900–13 000]"
"Honduras","800 [580–1100]","790 [580–1000]","850 [610–1100]","890 [640–1200]","950 [680–1200]","970 [700–1300]","1000 [750–1300]","1100 [810–1400]","1200 [890–1500]","1200 [950–1500]","1300 [1000–1600]","1400 [1100–1700]","1500 [1200–1800]","1700 [1300–2000]","1900 [1500–2200]","2000 [1600–2400]","2600 [2000–3000]","2700 [2200–3300]","2700 [2100–3300]","2500 [2000–3200]"
"Hungary","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Iceland","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"India","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Indonesia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Iran (Islamic Republic of)","2500 [1200–5600]","2400 [1300–5000]","2500 [1400–4500]","2500 [1500–4200]","2500 [1600–4000]","2600 [1600–3800]","2600 [1600–3700]","2600 [1700–3600]","2500 [1600–3500]","2400 [1500–3300]","2200 [1300–3200]","2000 [1200–3100]","1800 [980–2800]","1600 [830–2700]","1400 [660–2400]","1200 [550–2300]","930 [&lt;500–2000]","740 [&lt;500–1800]","580 [&lt;500–1500]","&lt;500 [&lt;200–1300]"
"Ireland","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Israel","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Italy","750 [&lt;500–1700]","770 [&lt;500–1800]","780 [&lt;500–1800]","770 [&lt;500–1800]","780 [&lt;500–1700]","800 [&lt;500–1800]","830 [500–1800]","870 [520–1900]","890 [550–1900]","930 [590–1900]","1000 [680–2000]","1200 [810–2200]","1200 [830–2100]","1200 [850–2000]","1200 [850–2000]","1200 [820–1900]","1100 [790–1800]","1200 [800–1700]","1200 [850–1700]","1300 [910–1900]"
"Jamaica","1000 [700–1800]","1000 [660–1800]","980 [640–1800]","990 [640–1800]","980 [650–1700]","1000 [670–1800]","1000 [660–1800]","1000 [670–1800]","990 [670–1700]","960 [670–1600]","1100 [780–1800]","1200 [860–1900]","1300 [980–2100]","1300 [1000–2000]","1800 [1400–2700]","1900 [1500–2700]","1800 [1400–2600]","1800 [1300–2500]","1700 [1200–2500]","1600 [1100–2200]"
"Japan","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Jordan","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kazakhstan","&lt;500 [&lt;500–&lt;500]","570 [&lt;500–710]","560 [&lt;500–690]","540 [&lt;500–660]","540 [&lt;500–660]","540 [&lt;500–660]","560 [&lt;500–670]","570 [&lt;500–670]","550 [&lt;500–660]","510 [&lt;500–630]","&lt;500 [&lt;500–560]","&lt;500 [&lt;500–530]","&lt;500 [&lt;500–510]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]"
"Kenya","21 000 [16 000–31 000]","23 000 [17 000–34 000]","26 000 [19 000–38 000]","29 000 [21 000–42 000]","33 000 [24 000–48 000]","35 000 [26 000–51 000]","36 000 [27 000–53 000]","40 000 [29 000–58 000]","45 000 [33 000–66 000]","51 000 [38 000–74 000]","59 000 [43 000–86 000]","69 000 [51 000–100 000]","80 000 [59 000–120 000]","98 000 [72 000–140 000]","110 000 [81 000–160 000]","120 000 [91 000–180 000]","120 000 [91 000–180 000]","120 000 [89 000–180 000]","120 000 [85 000–170 000]","110 000 [81 000–160 000]"
"Kuwait","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kyrgyzstan","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Lao People's Democratic Republic","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Latvia","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Lebanon","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Lesotho","4800 [3800–6500]","4600 [3700–6300]","4700 [3800–6300]","4700 [3800–6400]","5200 [4200–6800]","5400 [4400–7200]","5800 [4700–7800]","6400 [5200–8700]","7100 [5600–9600]","7800 [6100–11 000]","8800 [7000–12 000]","11 000 [8400–14 000]","14 000 [11 000–18 000]","17 000 [13 000–21 000]","18 000 [15 000–23 000]","18 000 [14 000–23 000]","17 000 [13 000–22 000]","16 000 [12 000–20 000]","14 000 [11 000–18 000]","12 000 [9200–16 000]"
"Liberia","1900 [1400–2600]","2300 [1800–3000]","2800 [2200–3600]","3000 [2400–3900]","3000 [2500–3900]","3000 [2400–3800]","3000 [2500–3800]","3000 [2400–3700]","3200 [2700–3800]","3500 [3000–4200]","3800 [3200–4400]","3900 [3300–4500]","3900 [3400–4600]","4300 [3700–4900]","4400 [3800–5000]","4300 [3600–5000]","4300 [3500–5200]","4300 [3300–5400]","4200 [3000–5500]","4000 [2600–5600]"
"Libya","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Lithuania","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Luxembourg","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Madagascar","1400 [1000–1900]","1300 [950–1800]","1200 [870–1600]","1000 [750–1400]","900 [670–1200]","780 [580–1100]","680 [&lt;500–940]","550 [&lt;500–770]","&lt;500 [&lt;500–690]","&lt;500 [&lt;500–590]","&lt;500 [&lt;500–510]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Malawi","13 000 [11 000–15 000]","13 000 [11 000–16 000]","14 000 [11 000–17 000]","14 000 [12 000–17 000]","15 000 [12 000–18 000]","16 000 [13 000–19 000]","19 000 [16 000–22 000]","24 000 [20 000–27 000]","28 000 [24 000–32 000]","32 000 [28 000–36 000]","36 000 [32 000–40 000]","45 000 [40 000–49 000]","54 000 [50 000–58 000]","63 000 [58 000–67 000]","69 000 [63 000–74 000]","71 000 [63 000–77 000]","70 000 [62 000–77 000]","68 000 [59 000–75 000]","66 000 [56 000–73 000]","62 000 [52 000–71 000]"
"Malaysia","2700 [2100–3400]","2500 [2000–3100]","2600 [2100–3100]","3100 [2600–3700]","3500 [3000–4100]","3600 [3100–4200]","3400 [2800–4000]","3100 [2500–3700]","3000 [2400–3500]","2900 [2300–3400]","2700 [2200–3300]","2700 [2100–3200]","2600 [2100–3200]","2600 [2000–3100]","2500 [2000–3100]","2500 [2000–3100]","2600 [2000–3100]","2700 [2200–3200]","2900 [2300–3500]","2700 [2100–3300]"
"Maldives","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mali","5800 [4200–7700]","6000 [4400–7800]","6000 [4500–7800]","6000 [4600–7700]","6100 [4600–7800]","5600 [4200–7100]","4900 [3600–6200]","4400 [3300–5500]","4600 [3600–5800]","4800 [3800–6000]","5100 [4000–6300]","5400 [4400–6600]","6100 [5000–7400]","6900 [5700–8400]","6800 [5600–8400]","7400 [6200–9200]","7600 [6200–9300]","7500 [5900–9100]","7200 [5500–9000]","6900 [5100–9000]"
"Malta","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mauritania","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–530]","&lt;500 [&lt;500–590]","&lt;500 [&lt;500–580]","&lt;500 [&lt;500–540]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;200–&lt;500]"
"Mauritius","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mexico","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mongolia","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Montenegro","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Morocco","&lt;500 [&lt;200–&lt;500]","&lt;500 [&lt;500–560]","&lt;500 [&lt;500–590]","&lt;500 [&lt;500–630]","&lt;500 [&lt;500–630]","&lt;500 [&lt;500–640]","&lt;500 [&lt;500–700]","500 [&lt;500–790]","550 [&lt;500–840]","530 [&lt;500–810]","530 [&lt;500–790]","560 [&lt;500–820]","530 [&lt;500–770]","&lt;500 [&lt;500–690]","&lt;500 [&lt;500–630]","&lt;500 [&lt;500–640]","580 [&lt;500–840]","550 [&lt;500–810]","&lt;500 [&lt;500–720]","&lt;500 [&lt;500–640]"
"Mozambique","51 000 [35 000–70 000]","53 000 [37 000–73 000]","54 000 [38 000–75 000]","55 000 [38 000–77 000]","59 000 [41 000–81 000]","64 000 [44 000–89 000]","65 000 [45 000–91 000]","64 000 [45 000–89 000]","63 000 [44 000–88 000]","63 000 [44 000–87 000]","61 000 [42 000–84 000]","64 000 [44 000–89 000]","70 000 [49 000–97 000]","72 000 [50 000–100 000]","69 000 [48 000–95 000]","63 000 [44 000–88 000]","58 000 [40 000–80 000]","51 000 [36 000–71 000]","45 000 [31 000–62 000]","38 000 [27 000–53 000]"
